
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #18 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #17 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #16 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #1 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #12 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (27) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (29) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (30) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 1268            
  Cones                  : 1               
  Scalar variables       : 803             
  Matrix variables       : 0               
  Integer variables      : 400             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 3.91
Presolved problem: 793 variables, 467 constraints, 13197 non-zeros
Presolved problem: 0 general integer, 391 binary, 402 continuous
Clique table size: 408
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   4.3657943535e+01     NA          5.0   
Cut generation started.
0        2        0        0        NA                   4.3657943540e+01     NA          7.8   
Cut generation terminated. Time = 1.00
15       18       16       3        NA                   4.3927608198e+01     NA          11.0  
31       34       26       4        NA                   4.4008877693e+01     NA          12.4  
54       54       43       4        NA                   4.4140985062e+01     NA          13.5  
90       91       77       4        NA                   4.4213077278e+01     NA          15.4  
155      148      118      4        NA                   4.4213077278e+01     NA          18.3  
208      206      165      4        NA                   4.4297908971e+01     NA          20.0  
332      342      277      6        NA                   4.4431740038e+01     NA          21.9  
548      569      479      9        NA                   4.4505268707e+01     NA          24.6  
980      1006     791      14       NA                   4.4558984948e+01     NA          28.4  
1700     1691     1137     21       NA                   4.4558984948e+01     NA          32.8  
2780     2723     1583     15       1.8504002873e+02     4.7102902407e+01     74.54       40.1  
4292     4242     2643     23       1.8504002873e+02     4.7268163586e+01     74.46       50.6  
6463     6320     4008     27       1.8504002873e+02     4.7268163586e+01     74.46       62.8  
8619     8415     5584     50       1.8504002873e+02     4.7383392520e+01     74.39       76.9  
10806    10502    7015     60       1.8504002873e+02     4.7880298184e+01     74.12       87.4  
12987    12589    8424     63       1.8504002873e+02     4.8091437721e+01     74.01       101.8 
15163    14681    9816     69       1.8504002873e+02     4.9655115784e+01     73.17       112.9 
17422    16762    11159    90       1.8504002873e+02     4.9977595502e+01     72.99       125.6 
19614    18849    12427    69       1.8504002873e+02     5.0337353694e+01     72.80       138.2 
21815    20931    13820    43       1.8492937324e+02     5.2925794020e+01     71.38       150.1 
24033    23001    15120    97       1.8492937324e+02     5.6741814684e+01     69.32       161.2 
26331    25083    16590    105      1.8492937324e+02     5.7806332198e+01     68.74       172.7 
28603    27171    18004    66       1.8492937324e+02     5.8692266014e+01     68.26       184.2 
30906    29260    19347    48       1.8492937324e+02     6.0079443921e+01     67.51       194.2 
33164    31347    20709    56       1.8492937324e+02     6.0897947677e+01     67.07       206.0 
35320    33378    22117    66       1.8492937324e+02     6.1091445941e+01     66.96       217.3 
37579    35454    23494    70       1.8492937324e+02     6.1548312983e+01     66.72       230.0 
39776    37540    24907    51       1.8492937324e+02     6.1798915764e+01     66.58       241.5 
42015    39625    26346    59       1.8492937324e+02     6.2037966579e+01     66.45       254.5 
44247    41711    27746    45       1.8492937324e+02     6.2082647784e+01     66.43       266.4 
46456    43806    29189    42       1.8492937324e+02     6.2373168183e+01     66.27       277.9 
48744    45888    30559    64       1.8492937324e+02     6.2929930536e+01     65.97       289.4 
51000    47981    31953    79       1.8492937324e+02     6.3077554807e+01     65.89       301.5 
53239    50070    33310    29       1.8492937324e+02     6.3236119010e+01     65.81       313.0 
55514    52160    34655    28       1.8492937324e+02     6.3448090931e+01     65.69       325.1 
57824    54250    36073    85       1.8492937324e+02     6.3460211788e+01     65.68       336.5 
60125    56344    37488    69       1.8492937324e+02     6.3844890391e+01     65.48       347.7 
62415    58429    38846    54       1.8492937324e+02     6.4237421922e+01     65.26       358.9 
64682    60518    40189    116      1.8474004613e+02     6.4399244439e+01     65.14       370.5 
66986    62607    41599    125      1.8474004613e+02     6.4531720678e+01     65.07       382.1 
69286    64702    42959    52       1.8474004613e+02     6.4756392449e+01     64.95       394.0 
71601    66795    44372    19       1.8474004613e+02     6.4847998303e+01     64.90       405.3 
73914    68891    45737    43       1.8474004613e+02     6.5165828854e+01     64.73       416.7 
76182    70928    47019    57       1.8474004613e+02     6.5273214637e+01     64.67       428.3 
78466    73023    48415    32       1.8474004613e+02     6.5413020322e+01     64.59       439.4 
80792    75110    49743    29       1.8474004613e+02     6.5510022616e+01     64.54       450.4 
83056    77208    51151    31       1.8474004613e+02     6.5706338842e+01     64.43       461.8 
85344    79312    52559    52       1.8447601587e+02     6.5812682578e+01     64.32       473.1 
87659    81413    53964    42       1.8447601587e+02     6.5929319565e+01     64.26       484.3 
89930    83513    55403    60       1.8447601587e+02     6.5973748232e+01     64.24       496.4 
92221    85610    56846    69       1.8447601587e+02     6.6073602115e+01     64.18       507.2 
