
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #29 (nearly) zero elements are specified in sparse col '' (30) of matrix 'A'.
MOSEK warning 710: #28 (nearly) zero elements are specified in sparse col '' (31) of matrix 'A'.
MOSEK warning 710: #27 (nearly) zero elements are specified in sparse col '' (32) of matrix 'A'.
MOSEK warning 710: #26 (nearly) zero elements are specified in sparse col '' (33) of matrix 'A'.
MOSEK warning 710: #25 (nearly) zero elements are specified in sparse col '' (34) of matrix 'A'.
MOSEK warning 710: #24 (nearly) zero elements are specified in sparse col '' (35) of matrix 'A'.
MOSEK warning 710: #23 (nearly) zero elements are specified in sparse col '' (36) of matrix 'A'.
MOSEK warning 710: #22 (nearly) zero elements are specified in sparse col '' (37) of matrix 'A'.
MOSEK warning 710: #21 (nearly) zero elements are specified in sparse col '' (38) of matrix 'A'.
MOSEK warning 710: #20 (nearly) zero elements are specified in sparse col '' (39) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 2803            
  Cones                  : 1               
  Scalar variables       : 1803            
  Matrix variables       : 0               
  Integer variables      : 900             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 5.63
Presolved problem: 1788 variables, 1002 constraints, 43232 non-zeros
Presolved problem: 0 general integer, 886 binary, 902 continuous
Clique table size: 411
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   7.0274014292e+01     NA          10.2  
Cut generation started.
0        2        0        0        NA                   7.0278516282e+01     NA          15.8  
Cut generation terminated. Time = 1.86
15       18       16       3        NA                   7.0406787147e+01     NA          25.8  
31       35       32       4        NA                   7.0483116950e+01     NA          29.9  
63       65       56       5        NA                   7.0556937686e+01     NA          32.9  
115      116      104      6        NA                   7.0678039265e+01     NA          37.2  
181      186      166      7        NA                   7.0678039265e+01     NA          41.8  
319      322      284      7        NA                   7.0735966917e+01     NA          47.2  
535      535      464      10       NA                   7.0875294287e+01     NA          55.4  
967      937      804      14       NA                   7.1127325900e+01     NA          68.4  
1759     1629     1146     16       NA                   7.1127325900e+01     NA          89.2  
2839     2525     1468     21       NA                   7.1127325900e+01     NA          115.8 
4279     3779     2076     22       4.5805718066e+02     7.1127325900e+01     84.47       155.7 
6284     5635     3315     41       4.5805718066e+02     7.3553730884e+01     83.94       217.6 
8438     7654     4815     24       4.5805718066e+02     8.1632976654e+01     82.18       279.2 
10632    9682     6277     62       4.5805718066e+02     8.1682283279e+01     82.17       337.0 
12755    11691    7666     36       4.5805718066e+02     8.1682283279e+01     82.17       390.5 
14779    13697    9156     39       4.5805718066e+02     8.1868068867e+01     82.13       445.2 
16816    15704    10537    26       4.5805718066e+02     8.2077692360e+01     82.08       489.2 
18856    17719    11895    37       4.5805718066e+02     8.2165467122e+01     82.06       532.1 
20959    19721    13318    68       4.5805718066e+02     8.2190885952e+01     82.06       576.4 
23086    21725    14609    94       4.5805718066e+02     8.2190885952e+01     82.06       621.8 
25165    23726    15996    30       4.5805718066e+02     8.2570055776e+01     81.97       670.4 
