
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #19 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #14 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #17 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #16 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #14 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #13 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
MOSEK warning 710: #5 (nearly) zero elements are specified in sparse col '' (27) of matrix 'A'.
MOSEK warning 710: #3 (nearly) zero elements are specified in sparse col '' (28) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (29) of matrix 'A'.
MOSEK warning 710: #4 (nearly) zero elements are specified in sparse col '' (30) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 1268            
  Cones                  : 1               
  Scalar variables       : 803             
  Matrix variables       : 0               
  Integer variables      : 400             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 3.29
Presolved problem: 793 variables, 467 constraints, 13197 non-zeros
Presolved problem: 0 general integer, 391 binary, 402 continuous
Clique table size: 389
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   4.4944144480e+01     NA          5.7   
Cut generation started.
0        2        0        0        NA                   4.4944144481e+01     NA          7.3   
Cut generation terminated. Time = 0.36
15       18       14       3        NA                   4.5257403409e+01     NA          9.5   
28       31       23       4        NA                   4.5383826060e+01     NA          10.2  
48       51       39       4        NA                   4.5467178551e+01     NA          11.4  
81       84       68       4        NA                   4.5553991595e+01     NA          12.8  
139      144      116      4        NA                   4.5691113408e+01     NA          15.4  
199      203      158      4        NA                   4.5691113408e+01     NA          17.2  
317      321      260      8        NA                   4.5972246712e+01     NA          18.9  
533      542      468      6        NA                   4.6203781614e+01     NA          21.2  
965      990      822      10       NA                   4.6496258415e+01     NA          24.2  
1757     1749     1212     15       NA                   4.6496258415e+01     NA          28.5  
2909     2860     1784     23       1.8865600489e+02     4.6829921190e+01     75.18       34.8  
4637     4561     3052     35       1.8865600489e+02     4.6885942985e+01     75.15       47.3  
6823     6643     4428     50       1.8865600489e+02     4.7009097871e+01     75.08       57.9  
8984     8718     5801     44       1.8774162599e+02     4.8216505383e+01     74.32       69.7  
11190    10799    7151     41       1.8774162599e+02     5.0165030826e+01     73.28       83.3  
13388    12864    8445     55       1.8774162599e+02     5.0270618210e+01     73.22       95.3  
15583    14955    9910     77       1.8774162599e+02     5.3361298456e+01     71.58       107.4 
17748    17050    11363    79       1.8774162599e+02     5.4939210733e+01     70.74       119.5 
19926    19131    12775    90       1.8774162599e+02     5.5376361255e+01     70.50       132.1 
22137    21218    14124    69       1.8774162599e+02     5.7477712934e+01     69.38       143.4 
24293    23306    15634    65       1.8774162599e+02     5.8940021679e+01     68.61       155.5 
