
MOSEK Version 8.0.0.51 (Build date: 2016-12-14 12:53:47)
Copyright (c) MOSEK ApS, Denmark. WWW: mosek.com
Platform: Linux/64-X86

MOSEK warning 710: #19 (nearly) zero elements are specified in sparse col '' (20) of matrix 'A'.
MOSEK warning 710: #18 (nearly) zero elements are specified in sparse col '' (21) of matrix 'A'.
MOSEK warning 710: #17 (nearly) zero elements are specified in sparse col '' (22) of matrix 'A'.
MOSEK warning 710: #9 (nearly) zero elements are specified in sparse col '' (23) of matrix 'A'.
MOSEK warning 710: #15 (nearly) zero elements are specified in sparse col '' (24) of matrix 'A'.
MOSEK warning 710: #14 (nearly) zero elements are specified in sparse col '' (25) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (26) of matrix 'A'.
MOSEK warning 710: #6 (nearly) zero elements are specified in sparse col '' (27) of matrix 'A'.
MOSEK warning 710: #11 (nearly) zero elements are specified in sparse col '' (28) of matrix 'A'.
MOSEK warning 710: #10 (nearly) zero elements are specified in sparse col '' (29) of matrix 'A'.
Warning number 710 is disabled.
Problem
  Name                   :                 
  Objective sense        : min             
  Type                   : CONIC (conic optimization problem)
  Constraints            : 1268            
  Cones                  : 1               
  Scalar variables       : 803             
  Matrix variables       : 0               
  Integer variables      : 400             

Optimizer started.
Mixed integer optimizer started.
Threads used: 72
Presolve started.
Presolve terminated. Time = 3.94
Presolved problem: 793 variables, 467 constraints, 13197 non-zeros
Presolved problem: 0 general integer, 391 binary, 402 continuous
Clique table size: 400
BRANCHES RELAXS   ACT_NDS  DEPTH    BEST_INT_OBJ         BEST_RELAX_OBJ       REL_GAP(%)  TIME  
0        1        0        0        NA                   4.6036176840e+01     NA          5.0   
0        1        0        0        1.9444432278e+02     4.6036176840e+01     76.32       5.9   
Cut generation started.
0        2        0        0        1.9444432278e+02     4.6036176844e+01     76.32       6.4   
Cut generation terminated. Time = 0.53
12       15       9        2        1.9444432278e+02     4.6336923654e+01     76.17       8.9   
29       32       24       2        1.9444432278e+02     4.6649198004e+01     76.01       10.4  
48       52       41       2        1.9444432278e+02     4.6919016750e+01     75.87       11.4  
83       88       72       2        1.9444432278e+02     4.7381043081e+01     75.63       13.7  
146      148      105      2        1.9444432278e+02     4.8187519821e+01     75.22       16.5  
198      194      129      2        1.9444432278e+02     4.8187519821e+01     75.22       18.3  
242      238      163      2        1.9444432278e+02     5.0158968024e+01     74.20       19.5  
348      345      243      9        1.9444432278e+02     5.2795796409e+01     72.85       21.9  
564      567      431      12       1.9444432278e+02     5.3016444510e+01     72.73       24.4  
924      933      743      18       1.9444432278e+02     5.3093950470e+01     72.69       29.2  
1644     1579     1159     27       1.9444432278e+02     5.3093950470e+01     72.69       34.1  
2796     2596     1561     11       1.9309449084e+02     5.3280968138e+01     72.41       42.0  
4308     4078     2663     33       1.9309449084e+02     5.3317484742e+01     72.39       55.1  
6509     6169     4050     37       1.9309449084e+02     5.3420521157e+01     72.33       66.7  
8648     8257     5467     47       1.9309449084e+02     5.3850563948e+01     72.11       81.4  
10809    10339    6854     20       1.9299850784e+02     5.4386306886e+01     71.82       93.6  
13004    12426    8305     59       1.9261637221e+02     5.4963460100e+01     71.46       107.1 
15197    14514    9640     49       1.9261637221e+02     5.5307775181e+01     71.29       120.3 
17410    16602    11055    70       1.9261637221e+02     5.6763093511e+01     70.53       132.7 
19578    18699    12443    77       1.9261637221e+02     5.7150118673e+01     70.33       146.0 
21763    20791    13856    57       1.9261637221e+02     5.7676344527e+01     70.06       159.2 
24050    22889    15255    41       1.9261637221e+02     5.9749734507e+01     68.98       171.1 
26302    24975    16631    74       1.9261637221e+02     6.1035826092e+01     68.31       184.3 
28526    27062    18143    37       1.9261637221e+02     6.1035826092e+01     68.31       198.5 
30807    29146    19456    41       1.9261637221e+02     6.3202838579e+01     67.19       212.6 
33039    31240    20964    52       1.9261637221e+02     6.3278437593e+01     67.15       226.6 
35298    33328    22439    37       1.9261637221e+02     6.3657683586e+01     66.95       240.6 
37569    35424    23898    71       1.9261637221e+02     6.4029283598e+01     66.76       254.8 
39808    37509    25339    71       1.9261637221e+02     6.4055528222e+01     66.74       268.5 
42070    39600    26761    67       1.9261637221e+02     6.4868973767e+01     66.32       282.1 
44248    41626    28133    84       1.9261637221e+02     6.5321910886e+01     66.09       296.1 
46488    43707    29571    49       1.9261637221e+02     6.5515056391e+01     65.99       309.3 
48714    45796    30961    44       1.9261637221e+02     6.5701319155e+01     65.89       321.6 
50947    47885    32412    23       1.9261637221e+02     6.5879119629e+01     65.80       334.1 
53206    49974    33825    52       1.9261637221e+02     6.5989104267e+01     65.74       346.4 
55450    52071    35263    46       1.9261637221e+02     6.6078699603e+01     65.69       357.6 
57733    54166    36624    84       1.9261637221e+02     6.6261208584e+01     65.60       370.0 
59983    56270    38110    34       1.9261637221e+02     6.6755722576e+01     65.34       383.2 
62253    58370    39528    27       1.9261637221e+02     6.6787930384e+01     65.33       395.3 
64479    60464    41038    29       1.9261637221e+02     6.7130065788e+01     65.15       407.0 
66766    62559    42431    61       1.9261637221e+02     6.7957739571e+01     64.72       419.5 
69068    64654    43873    48       1.9261637221e+02     6.8300033651e+01     64.54       430.7 
71293    66753    45232    45       1.9261637221e+02     6.8306877368e+01     64.54       442.7 
73585    68846    46604    58       1.9261637221e+02     6.8534213491e+01     64.42       454.3 
75776    70942    48107    34       1.9261637221e+02     6.8903962213e+01     64.23       465.6 
78057    73041    49498    40       1.9261637221e+02     6.9061222272e+01     64.15       476.3 
80314    75136    50961    26       1.9261637221e+02     6.9061222272e+01     64.15       486.7 
82546    77234    52409    59       1.9261637221e+02     6.9309341133e+01     64.02       497.7 
84659    79265    53814    61       1.9261637221e+02     6.9314729977e+01     64.01       508.5 
86880    81360    55137    24       1.9261637221e+02     6.9370254537e+01     63.99       520.6 
89099    83458    56554    67       1.9261637221e+02     6.9690278780e+01     63.82       532.2 
91316    85554    57969    57       1.9261637221e+02     6.9750884824e+01     63.79       544.2 
93525    87637    59356    24       1.9261637221e+02     6.9838593039e+01     63.74       555.6 
95691    89726    60724    63       1.9261637221e+02     6.9937582352e+01     63.69       567.8 
97864    91817    62193    24       1.9261637221e+02     7.0036817976e+01     63.64       580.8 
100118   93918    63545    42       1.9229119993e+02     7.0074053314e+01     63.56       592.4 
102380   96013    64935    57       1.9229119993e+02     7.0105856284e+01     63.54       604.9 
104636   98118    66243    51       1.9229119993e+02     7.0143600234e+01     63.52       616.3 
106892   100223   67671    36       1.9229119993e+02     7.0294046084e+01     63.44       628.8 
109117   102326   69154    29       1.9229119993e+02     7.0378785684e+01     63.40       640.9 
111338   104434   70595    36       1.9229119993e+02     7.0410967083e+01     63.38       653.5 
113547   106527   71998    57       1.9229119993e+02     7.0487125247e+01     63.34       665.6 
115741   108633   73432    29       1.9229119993e+02     7.0560131121e+01     63.31       678.5 
117943   110738   74902    32       1.9223012301e+02     7.0614928793e+01     63.27       690.4 
120168   112842   76287    70       1.9223012301e+02     7.0676383652e+01     63.23       702.9 
122372   114946   77687    39       1.9223012301e+02     7.0704156450e+01     63.22       714.5 
124514   116976   79067    65       1.9223012301e+02     7.0752947984e+01     63.19       727.6 
126723   119073   80420    41       1.9223012301e+02     7.0773407759e+01     63.18       739.8 
128998   121179   81705    75       1.9223012301e+02     7.0886392570e+01     63.12       752.1 
131244   123283   83143    36       1.9223012301e+02     7.0925374618e+01     63.10       765.5 
133458   125382   84567    47       1.9223012301e+02     7.0971087368e+01     63.08       778.5 
135666   127484   85929    61       1.9223012301e+02     7.1029514692e+01     63.05       791.5 
137870   129572   87311    22       1.9223012301e+02     7.1082656059e+01     63.02       805.1 
140083   131669   88714    61       1.9223012301e+02     7.1121693154e+01     63.00       818.0 
142285   133770   90138    99       1.9223012301e+02     7.1181435102e+01     62.97       830.2 
144490   135865   91557    17       1.9223012301e+02     7.1222040296e+01     62.95       843.0 
146693   137959   92954    23       1.9223012301e+02     7.1242743111e+01     62.94       855.2 
148910   140061   94397    79       1.9223012301e+02     7.1313673486e+01     62.90       867.8 
151109   142161   95800    40       1.9223012301e+02     7.1344609782e+01     62.89       879.5 
153284   144262   97219    30       1.9223012301e+02     7.1389948910e+01     62.86       891.3 
155515   146363   98594    51       1.9223012301e+02     7.1425954109e+01     62.84       904.3 
157734   148458   99911    45       1.9223012301e+02     7.1440903893e+01     62.84       916.5 
159956   150556   101311   58       1.9223012301e+02     7.1516113934e+01     62.80       928.7 
162170   152654   102639   73       1.9223012301e+02     7.1563609209e+01     62.77       940.3 
164302   154695   103919   21       1.9223012301e+02     7.1607894737e+01     62.75       953.5 
